"id","demand_zone_id","zone_id","status","name","created_at","updated_at","created_by","updated_by"
54,17,33,active,Bali Kuta South,"2024-04-24 12:36:01","2024-04-24 12:36:01",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
55,17,34,active,Bali Kuta North,"2024-04-24 12:36:01","2024-04-24 12:36:01",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
56,18,39,active,Yogyakarta South,"2024-05-02 11:20:07","2024-05-02 11:20:07",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
57,18,40,active,Yogyakarta North,"2024-05-02 11:20:07","2024-05-02 11:20:07",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
58,18,43,active,Yogyakarta - Bantul,"2024-05-02 11:20:07","2024-05-02 11:20:07",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
59,18,204,active,Yogyakarta - Bantul South,"2024-05-02 11:20:07","2024-05-02 11:20:07",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
60,18,206,active,Yogyakarta - Bantul West,"2024-05-02 11:20:07","2024-05-02 11:20:07",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
61,11,633,inactive,Bekasi North New,"2024-05-02 13:17:32","2024-05-02 14:15:17",audhy.prabowo,wiwin.dwiutami.hakim
62,15,633,inactive,Bekasi North New,"2024-05-03 10:43:27","2024-07-05 17:12:45",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
63,4,640,inactive,Wakatobi,"2024-05-30 17:12:51","2024-07-05 14:22:37",audhy.prabowo,wiwin.dwiutami.hakim
64,4,232,inactive,Ternate,"2024-05-30 17:36:35","2024-07-05 14:22:37",audhy.prabowo,wiwin.dwiutami.hakim
65,19,22,active,Surabaya West,"2024-06-05 11:47:55","2024-06-05 11:47:55",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
66,19,23,active,Surabaya North,"2024-06-05 11:47:56","2024-06-05 11:47:56",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
67,19,24,active,Surabaya South,"2024-06-05 11:47:56","2024-06-05 11:47:56",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
68,19,191,active,Surabaya East,"2024-06-05 11:47:56","2024-06-05 11:47:56",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
69,10,627,inactive,Tangerang Rural,"2024-06-06 16:06:36","2024-06-06 17:06:55",dwi.rahmawati,dwi.rahmawati
70,4,122,active,Bogor Kabupaten North,"2024-06-13 17:36:54","2024-06-13 17:36:54",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
71,20,28,active,Semarang South East,"2024-07-05 09:41:47","2024-07-05 09:41:47",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
72,20,29,active,Semarang South West,"2024-07-05 09:41:47","2024-07-05 09:41:47",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
73,20,30,active,Semarang Central,"2024-07-05 09:41:47","2024-07-05 09:41:47",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
74,20,31,active,Semarang East,"2024-07-05 09:41:47","2024-07-05 09:41:47",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
75,20,32,active,Semarang North,"2024-07-05 09:41:47","2024-07-05 09:41:47",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
